nome_entidade;cnpj_entidade;siglaIes;uf;siglaUf;regiao
ASSOCIACAO ANTONIO VIEIRA;92.959.006/0008-85;ASAV;Rio Grande do Sul;RS;Sul
ASSOCIAÇÃO INSTITUTO NACIONAL DE MATEMÁTICA PURA E APLICADA;03.447.568/0001-43;IMPA;Rio de Janeiro;RJ;Sudeste
CENTRO FEDERAL DE EDUCAÇÃO, TECNOLÓGICA DE MINAS GERAIS;17.220.203/0001-96;CEFETMG;Minas Gerais;MG;Sudeste
CENTRO FEDERAL DE EDUCAÇÃO, TECNOLOGICA DO RIO DE JANEIRO;42.441.758/0001-05;CEFETRJ;Rio de Janeiro;RJ;Sudeste
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO;43.586.056/0003-44;UNASP;São Paulo;SP;Sudeste
CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO;03.226.149/0012-34;UniSALESIANO;São Paulo;SP;Sudeste
CENTRO UNIVERSITÁRIO CLARETIANO DE BATATAIS;44.943.835/0001-50;CEUCLAR;São Paulo;SP;Sudeste
CENTRO UNIVERSITÁRIO DE VOTUPORANGA;45.164.654/0001-99;UNIFEV;São Paulo;SP;Sudeste
COLÉGIO PEDRO II;42.414.284/0001-02;CPDII;Rio de Janeiro;RJ;Sudeste
FACULDADES INTEGRADAS CLARETIANAS DE RIO CLARO;44.943.835/0002-31;FIC/RIO CLARO;São Paulo;SP;Sudeste
FACULDADES INTEGRADAS CLARETIANAS DE SÃO PAULO;44.943.835/0003-12;FIC/SP;São Paulo;SP;Sudeste
FUNDAÇÃO CENTRO DE CIÊNCIAS E EDUCAÇÃO, SUPERIOR A DISTÂNCIA DO ESTADO DO RIO DE JANEIRO;35.854.884/0001-26;CECIERJ;Rio de Janeiro;RJ;Sudeste
FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;FIOCRUZ;Rio de Janeiro;RJ;Sudeste
INSTITUTO DE EDUCAÇÃO SUPERIOR PRESIDENTE KENNEDY;00.737.302/0001-47;IESP;São Paulo;SP;Sudeste
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA;10.764.307/0001-12;IFBA;Bahia;BA;Nordeste
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA PARAÍBA;10.783.898/0001-75;IFPB;Paraíba;PB;Nordeste
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS;10.825.373/0001-55;IFAL;Alagoas;AL;Nordeste
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE BRASÍLIA;10.791.831/0001-82;IFB;Distrito Federal;DF;Centro-Oeste
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS;10.870.883/0001-44;IFGO;Goiás;GO;Centro-Oeste
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO;10.784.782/0001-50;IFMT;Mato Grosso;MT;Centro-Oeste
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO;10.475.689/0001-64;IFPE;Pernambuco;PE;Nordeste
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDÔNIA;10.817.343/0001-05;IFRO;Rondônia;RO;Norte
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA;10.839.508/0001-31;IFRR;Roraima;RR;Norte
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA;81.531.428/0001-62;IFSC;Santa Catarina;SC;Sul
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO;10.882.594/0001-65;IFSP;São Paulo;SP;Sudeste
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ;10.820.882/0001-95;IFAP;Amapá;AP;Norte
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS;10.792.928/0001-00;IFAM;Amazonas;AM;Norte
